"Pipedrive Name", "Capsule Name"
"A J Rose Carpets & Flooring", "A J Rose Carpets & Flooring"
"Flooring America", "A&M Flooring America/A&M Carpet"
"Rug and Home", "Rug and Home (Gaffney)"
"The Carpet Shoppe Inc", "The Carpet Shoppe Inc"
"Atiyeh Brothers", "Atiyeh Brothers"
"Abbey Capitol Floors & Interiors", "Abbey Capitol Floors & Interiors"
"Abbey Carpet and Floor Gallery", "Abbey Carpet and Floor Gallery  / Bradshaw Carpet Gallery"
"Abbey Carpet Flooring & Design Center", "Abbey Carpet Flooring & Design Center"
"Abbey Carpet Of Naples LLC ST1220", "Abbey Carpet Of Naples LLC ST1220"
"Abbey Carpets of San Francisco", "Abbey Carpets of San Francisco"
"Abbey Carpets Unlimited", "Abbey Carpets Unlimited"
"Carpet Man of York", "Carpet Man of York"
"ABC Carpet & Home", "ABC Carpet & Home - 102036"
"About Floors N More", "About Floors & More"
"Absolute Floor Design", "Absolute Floor Designs LLC"
"Ace Flooring", "Ace Flooring Systems Inc"
"Affordable Floors", "Affordable Floors"
"Aggieland Carpet One", "Aggieland Carpet One"
"Air Base Carpet Mart Inc", "Airbase Carpet Mart Inc"
"A J Rose Carpets & Flooring", "A J Rose Carpets & Flooring"
"Floor Master Carpet One", "Floor Master Carpet One"
"Aladdin Carpet and Floors", "Aladdin Carpet and Floors"
"Hunter Douglas Inc", "Hunter Douglas Inc"
"Albrite Carpets Inc", "Albrite Carpets Inc"
"Alexandria Carpet One Floor & Home / Commercial Carpets", "Alexandria Carpet One Floor & Home / Commercial Carpets"
"ALFORDS HOUSE OF CPTS", "ALFORDS HOUSE OF CPTS"
"Michigan Tile and Carpet", "Michigan Tile and Carpet"
"All About Flooring of SC", "All About Flooring of SC"
"Star Lumber", "Star Lumber"
"Allied Floor Covering", "Allied Floor Covering"
"Alpine Carpet One", "Alpine Carpet One"
"Flooring America", "Alpine Flooring America"
"Ambassador Floor Company", "Ambassador Floor Company"
"America's Carpet", "America's Carpet Outlet"
"American Carpet One The Carpet Shoppe Inc.", "American Carpet One The Carpet Shoppe Inc."
"American Custom Rug", "American Custom Rug"
"American Rug Company", "American Rug Company"
"Amore Floor Covering", "Amore Floor Covering"
"Bloomington Carpet & Floor", "Bloomington Carpet & Floor"
"Ayoub Carpet Service", "Ayoub Carpet Service"
"Anderson Furniture", "Anderson Furniture"
"Andersons Carpet One", "Andersons Carpet One"
"World of Carpet One Floor & Home", "World of Carpet One Floor & Home"
"CCA Global Partners, Inc.", "CCA Global Partners, Inc."
"Call for Carpet", "Call for Carpet"
"Carpet Country", "Carpet Country"
"Carpet Gallery", "Angelo's Carpet Gallery"
"Carpet Gallery", "Angelo's Carpet Gallery"
"Carpet One", "Angelo's Carpet One"
"Floors Of Distinction", "Floors Of Distinction"
"Apelian Carpets", "Apelian Carpets"
"Archer Floorcovering", "Archer Floorcovering"
"Armstrong Carpets", "Armstrong Carpets"
"Armstrong World Industries, Inc.", "Armstrong World Industries"
"Arnold's Carpet Max", "Arnold's Carpet Max"
"Flooring America", "Arnolds flooring america"
"ASK Contract Flooring / Flooring America", "ASK Contract Flooring / Flooring America"
"Atiyeh Brothers", "Atiyeh Brothers"
"Austin Fine Floors", "Austin Fine Floors"
"Avalanche Floor Coverings Inc", "Avalanche Floor Coverings Inc"
"AW Rugs & Carpet", "AW Rugs & Carpet"
"Ayoub Carpet Service", "Ayoub Carpet Service"
"B & B Flooring", "B & B Flooring - Carpet One"
"Bailey's Carpet One Floor and Home", "Bailey`s Carpet One Floor and Home"
"Baker Brothers", "Baker Brothers"
"Barb - Lin Carpet One", "Barb - Lin Carpet One"
"Powers Carpet One", "Powers Carpet One"
"Barnard's Carpet One", "Barnard's Carpet One"
"Barnetts Crenshaw Carpet", "Barnetts Crenshaw Carpet"
"Barrington Capet & Flooring Design", "Barrington Carpet & Flooring Design"
"Barry Carpet", "Barry Carpet"
"Legacy Floor Covering", "Legacy Floor Covering"
"Viking Range Corporation", "Viking Range Corporation"
"Carpet One", "Bastian Carpet One"
"Carpet One", "Benjaman's Carpet One"
"Bell's Carpets & Floors", "Bell's Carpets & Floors"
"Carpet One", "Benjaman's Carpet One"
"Yates Flooring Center", "Yates Flooring Center"
"Hallmark Floor Company Inc", "Hallmark Floor Company Inc"
"Anderson Furniture", "Anderson Furniture"
"Mohawk", "Mohawk Home"
"Flooring Innovations", "Flooring Innovations"
"Suburban Floor Covering Abbey Carpet", "Suburban Floor Covering Abbey Carpet"
"Bill's Carpet Fair Inc", "Bill's Carpet Fair"
"Bixby Plaza Carpets Plus", "Bixby Plaza Carpets Plus"
"Abbey Capitol Floors & Interiors", "Abbey Capitol Floors & Interiors"
"Bloomington Carpet & Floor", "Bloomington Carpet & Floor"
"ABC Carpet & Home", "ABC Carpet & Home"
"Phillips Floor to Ceilings", "Phillips Floor to Ceilings"
"Coles Fine Flooring", "Coles Fine Flooring"
"Viking Range Corporation", "Viking Range Corporation"
"Viking Range Corporation", "Viking Range Corporation"
"Carpet Designers", "Carpet Designers"
"Paint & Paper", "Paint & Paper"
"Bockrath Carpet & Rugs", "Bockrath Carpet & Rugs"
"Bode Floors, Div. CB Flooring", "Bode Floors, Div. CB Flooring"
"Boro Rug & Carpet", "Boro Rug & Carpet"
"Bradford Carpet One", "Bradford Carpet One"
"Mitchell's Floor Designs", "Mitchell's Floor Designs"
"Flooring America of Franklin", "Flooring America of Franklin"
"Go Green Flooring (Carpet Line)", "Go Green Flooring (Carpet Line)"
"Brentwood Carpets Inc", "Brentwood Carpets Inc"
"Weber Carpet Inc.", "Weber Carpet Inc."
"Hemphill's Rugs & Carpets", "Hemphill's Rugs & Carpets"
"Carousel Carpet and Floors Inc", "Carousel Carpet and Floors Inc"
"Flooring America", "Brian Barnard Flooring America"
"J & S Carpet Co", "J & S Carpet Co"
"Hunter Douglas Inc", "Hunter Douglas Inc"
"Viking Range Corporation", "Viking Range Corporation"
"Bridgeport Carpets", "Bridgeport Carpets"
"Bridgman's Furniture Inc", "Bridgman's Furniture Inc"
"Carpet One Floor and Home", "Brittons Carpet One Floor and Home / JMB Designs"
"Broadway Carpet", "Broadway Carpet"
"Armstrong World Industries, Inc.", "Armstrong World Industries"
"Floors Of Distinction", "Floors Of Distinction"
"American Carpet One The Carpet Shoppe Inc.", "American Carpet One The Carpet Shoppe Inc."
"Swanson Floor Coverings", "Swanson Floor Coverings"
"Brumbaugh's Fine Home Furnishings", "Brumbaugh's Fine Home Furnishings"
"Burritt Brothers Carpets", "Burritt Brothers Carpets"
"California Carpet", "California Carpet Center"
"California Design Inc", "California Designs"
"Call for Carpet", "Call for Carpet"
"CAP Carpet", "CAP Carpet"
"Cappy's Carpet", "Cappy's Carpet"
"Carillon Carpet & Rugs LLC", "Carillon Carpet & Rug LLC"
"Carlson's Floors", "Carlson's Floors Inc"
"Clean Carpets of New England dba Carpet Carousel", "Clean Carpets of New England dba Carpet Carousel"
"Bode Floors, Div. CB Flooring", "Bode Floors, Div. CB Flooring"
"Hagopian World of Rugs", "Hagopian World of Rugs"
"The Square Yard", "The Square Yard"
"Armstrong World Industries, Inc.", "Armstrong World Industries"
"Carolina Carpets", "Carolina Carpets"
"Floor Store", "Floor Store"
"Carousel Carpet and Floors Inc", "Carousel Carpet and Floors Inc"
"Carpet One Floor and Home", "Carpet Barn Carpet One Floor and Home"
"Carpet Corner", "Carpet Corner"
"Carpet Country", "Carpet Country"
"Carpet Country", "Carpet Country Flooring"
"Carpet Cowboys", "Carpet Cowboys & Flooring Inc."
"Carpet Den Interiors", "Carpet Den Interiors"
"Carpet Depot", "Carpet Depot"
"Carpet Designers", "Carpet Designers"
"Carpet Exchange", "Carpet Exchange -TX"
"Carpet Exchange", "CARPET EXCHANGE"
"Carpet Fashions Carpet One", "Carpet Fashions Carpet One"
"Carpet Galleria Inc.", "Carpet Galleria Inc."
"Carpet Gallery & Interiors Inc", "Carpet Gallery & Interiors Inc"
"Carpet Image", "Carpet Image Services"
"Carpet Man of York", "Carpet Man of York"
"Carpet Mill PBK/ Carpet Mill Outlet", "Carpet Mill PBK/ Carpet Mill Outlet"
"Carpet N Drapes", "Carpet n Drapes"
"Carpet One", "Carpet One by Henry"
"Carpet One Floor & Home", "Carpet One Floor & Home IN"
"Carpet One Floor & Home", "Carpet One Floor and Home"
"Carpet One Mentor", "Carpet One Mentor"
"Carpet One", "Carpet One of Rochester"
"Carpet One of San Ramon Floor & Home", "Carpet One of San Ramon Floor & Home"
"Carpet Royale", "Carpet Royale"
"Carpet Specialists", "Carpet Specialists of Ishpeming Inc"
"CARPET STUDIO THE", "Carpet Studio"
"CARPET STUDIO THE", "CARPET STUDIO THE"
"Carpet Trends", "Carpet Trends"
"Carpet Value Center / Flooring America of White Plains", "Carpet Value Center / Flooring America of White Plains"
"Carpet Village", "Carpet Village"
"Carpet Your World", "Carpet Your World"
"Carpetland", "Carpetland"
"Carpetland of New England", "Carpetland of New England"
"Carpetland", "Carpetland USA of Alabama Inc"
"Carpets and Floors Inc", "Carpets and Floors Inc"
"Carpets by French", "Carpets by French"
"Carpets by Phillip`s", "Carpets by Phillip`s"
"Carpets of Cape Cod", "Carpets of Cape Cod and More"
"Carpets of Dalton", "Carpets of Dalton"
"Halverson Carpet Center", "Halverson Carpet Center"
"Cartozian Fine Flooring", "Cartozian Fine Flooring"
"CCA Global Partners, Inc.", "CCA Global Partners, Inc."
"Celebrity Carpet & Interiors DBA NAFFCO", "Celebrity Carpet & Interiors DBA NAFFCO"
"Centex Carpet & Interiors", "Centex Carpet & Interiors"
"Madison Carpet", "Madison Carpet"
"Nigohsian Carpet and Rug", "Nigohsian Carpet and Rug"
"Clifton Carpets Inc", "Clifton Carpets Inc"
"Ambassador Floor Company", "Ambassador Floor Company"
"Chase Carpets & Tile", "Chase Carpets & Tile"
"CAP Carpet", "CAP Carpet"
"Clifton Carpets Inc", "Clifton Carpets Inc"
"Cherry Carpet", "Cherry Carpet"
"Lexington Carpet One", "Lexington Carpet One"
"Husqvarna Forest & Garden Products", "Husqvarna Forest & Garden Products"
"Choice Floor Specialists Inc", "Choice Floor Specialists"
"Value Carpet One", "Value Carpet One"
"Mannington", "Mannington Mills, Inc."
"Flaherty's Flooring America", "Flaherty's Flooring America"
"Worldwide Wholesale Floor Covering", "Worldwide Wholesale Floor Covering"
"Dalton West of Newnan", "Dalton West of Newnan"
"Alexandria Carpet One Floor & Home / Commercial Carpets", "Alexandria Carpet One Floor & Home / Commercial Carpets"
"O'Briens Carpet One", "O'Briens Carpet One"
"Carpet Cowboys", "Carpet Cowboys & Flooring Inc."
"Dover Fine Rug & Carpeting", "Dover Fine Rug & Carpeting"
"Subzero Freezer Company Inc.", "Subzero Freezer Company Inc."
"Bloomington Carpet & Floor", "Bloomington Carpet & Floor"
"MUFI International / Park Carpet", "MUFI International / Park Carpet"
"Carpets by Phillip`s", "Carpets by Phillip`s"
"Churchills", "Churchills Rugs and Carpets"
"Cinderella Flooring Carpet One", "Cinderella Flooring Carpet One"
"Value Carpet One", "Value Carpet One"
"Braintree Rug Co", "Braintree Rug Co"
"Classic Carpet One/Classic Floorcovering", "Classic Carpet One/Classic Floorcovering"
"Classic Carpets Inc", "Classic Carpets Inc"
"Clean Carpets of New England dba Carpet Carousel", "Clean Carpets of New England dba Carpet Carousel"
"Clifton Carpets Inc", "Clifton Carpets Inc"
"Carpet One", "Coastal Carpet One"
"Cole's Interior Design Center", "Cole's Interior Design Center"
"Coles Fine Flooring", "Coles Fine Flooring"
"Colonial Brandywine Rug Co", "Colonial Brandywine Rug Co"
"Commercial Carpet & Rug / Commercial Carpet Corp", "Commercial Carpet & Rug / Commercial Carpet Corp"
"Contempo Floor Covering", "Contempo Floor Covering"
"Contract Carpet Systems", "Contract Carpet Systems"
"Tahoe Specialty Carpets & Design Center", "TAHOE SPECIALTY CARPETS & DESIGN CENTER"
"Corter's Flooring America", "Corter's Flooring America"
"Craft Rug Mills", "Craft Rug Mills"
"Marett Carpet", "Marett Carpet"
"Warners Rug & Carpet Outlet", "Warners Rug & Carpet Outlet"
"CREATIVE CARPETS OF WINTERSVILLE INC", "CREATIVE CARPETS OF WINTERSVILLE INC"
"Creative Interiors", "Creative Interiors"
"Crest Wholesale Carpet Distributors", "Crest Wholesale Carpet Distributors/Crown Carpetland"
"Carpet Exchange", "Carpet Exchange -TX"
"Culver Rug Company", "Culver Rug Company"
"Custom Carpet Centers", "Custom Carpet Centers"
"Custom Tile Works", "Custom Tile Works"
"CW Floors", "CW Floors"
"Viking Range Corporation", "Viking Range Corporation"
"Dalene Flooring", "Dalene Flooring"
"Dales Carpet One of Ft. Collins", "Dales Carpet One of Ft. Collins"
"Dalton Carpet One", "Dalton Carpet One"
"Dalton Floorcovering Inc", "Dalton Floorcovering Inc"
"Viking Range Corporation", "Viking Range Corporation"
"Rysers Floorcovering", "Rysers Floorcovering"
"Hunter Douglas Inc", "Hunter Douglas Inc"
"The Dixie Group", "The Dixie Group, Inc."
"Bridgman's Furniture Inc", "Bridgman's Furniture Inc"
"Flooring Gallery", "Flooring Gallery"
"Standale Interiors", "Standale Interiors"
"The Dixie Group", "The Dixie Group, Inc."
"Bixby Plaza Carpets Plus", "Bixby Plaza Carpets Plus"
"Worldwide Wholesale Floor Covering", "Worldwide Wholesale Floor Covering"
"Floorcrafters", "Floorcrafters"
"American Rug Company", "American Rug Company"
"Foremost Interiors", "Foremost Interiors"
"Kermans Fine Flooring", "Kermans Fine Flooring"
"Viking Range Corporation", "Viking Range Corporation"
"Flooring America", "Dave Griggs Flooring America"
"American Carpet One The Carpet Shoppe Inc.", "American Carpet One The Carpet Shoppe Inc."
"NJDX New Jeresy Decorating Exchange", "NJDX New Jeresy Decorating Exchange"
"Carpet Mill PBK/ Carpet Mill Outlet", "Carpet Mill PBK/ Carpet Mill Outlet"
"Connell Carpet One", "Connell Carpet One"
"Deel's Floor Covering", "Deel's Floor Coverings"
"The Dixie Group", "The Dixie Group, Inc."
"Poppell Brothers", "Poppell Brothers"
"Carpet Fashions Carpet One", "Carpet Fashions Carpet One"
"Carpet Galleria Inc.", "Carpet Galleria Inc."
"Rite Loom Carpet Co", "Rite Loom Carpet Co"
"Armstrong World Industries, Inc.", "Armstrong World Industries"
"Carpet Depot", "Carpet Depot"
"Baker Interiors Inc", "Baker Interiors Inc"
"Sail On Carpet", "Sail on Carpet"
"Carpet Specialists", "Carpet Specialists of Ishpeming Inc"
"Deel's Floor Covering", "Deel's Floor Coverings"
"Affordable Floors", "Affordable Floors"
"The Carpet Shoppe Inc", "The Carpet Shoppe Inc"
"The Dixie Group", "The Dixie Group, Inc."
"Design Gallery", "Design Gallery"
"Designer Carpets", "Designer Carpets"
"DeSitter Flooring Inc", "DeSitter Flooring Inc"
"Freeds Fine Furnishings", "Freeds Fine Furnishings"
"Dulmes Decor / Carpet One", "Dulmes Decor / Carpet One"
"Dillabaughs Flooring America", "Dillabaugh`s Flooring America"
"Dobson Flooring America", "Dobson Flooring America"
"Kelley Karpets", "Kelley Karpets"
"Don Greers Fashion Floors", "Don Greers Fashion Floors"
"Hunter Douglas Inc", "Hunter Douglas Inc"
"Flooring America", "Kepples Carpet Flooring America"
"Johnson Carpet One Floor & Home", "Johnson Carpet One Floor & Home"
"Armstrong World Industries, Inc.", "Armstrong World Industries"
"Drenners Carpet Gallery", "Drenners Carpet Gallery"
"Drexel Incorporated", "Drexel Incorporated"
"Dulmes Decor / Carpet One", "Dulmes Decor / Carpet One"
"Carpet One", "East Windsor Carpet One"
"Flooring Gallery", "Echo Flooring Gallery"
"Classic Carpet One/Classic Floorcovering", "Classic Carpet One/Classic Floorcovering"
"Culver Rug Company", "Culver Rug Company"
"Allen carpet", "Allen carpet"
"Heritage Carpet Redi-Cut Carpet", "Heritage Carpet  Redi-Cut Carpet"
"EMW Carpet & Furniture", "EMW Carpet & Furniture"
"Burkholder's Floor Covering Inc", "Burkholder's Floor Covering Inc"
"The Flooring Center Orlando", "The Flooring Center Orlando"
"Erskine Interiors", "Erskine Interiors"
"Hagopian Rug Outlet", "Rug Outlet"
"Espinoza Flooring", "Espinoza Flooring"
"Essis & Sons Carpet", "Essis & Sons Carpet"
"Excelsior Paint and Design - Carpet One", "Excelsior Paint and Design - Carpet One"
"Executive Floors Inc.", "Executive Floors"
"Exeter Decorating Center Inc", "Exeter Decorating Center Inc"
"Faber's Rug Company", "Faber's Rug Company"
"Fairchild Floors", "Fairchild Floors"
"Family Floors", "Family Floors"
"Feasterville Floor", "Feasterville Floor"
"Carpet Corner", "Felikian Bros Carpet Corner"
"Fenway Floor Covering Inc", "Fenway Floor Covering Inc"
"Finstad's Carpet One", "Finstad's Carpet One"
"Fishers Floor Covering", "Fishers Floor Covering"
"Flaherty's Flooring America", "Flaherty's Flooring America"
"Flairmont Furniture", "Flairmont Furniture - Carpet One"
"Floor Creations", "Floor Creations"
"Floor Decor", "Floor Decor"
"Floor Dimensions", "Floor Dimensions"
"Floor Rio & Abbey Carpets Inc", "Floor Rio & Abbey Carpets Inc"
"Floor Store", "Floor Store"
"Floor Stores Of America", "Floor Stores Of America"
"Floorcrafters", "Floorcrafters"
"Flooring and More", "Flooring & More"
"Flooring America of Franklin", "Flooring America of Franklin"
"Flooring America of Pinehurst", "Flooring America of Pinehurst"
"Flooring by Cogdill", "Flooring by Cogdill"
"Flooring Expo", "Flooring Expo"
"Flooring Gallery", "Flooring Gallery"
"Flooring Gallery & More / Robson Communities", "Flooring Gallery & More / Robson Communities"
"Flooring Gallery", "Flooring Gallery of Addison"
"Flooring Innovations", "Flooring Innovations"
"Flooring Max / Main Office", "Flooring Max"
"Floors Of Distinction", "Floors Of Distinction"
"Florcraft Inc.", "Florcraft Inc."
"Florence Carpet & Tile", "Florence Carpet & Tile"
"Florida Floor Fashions", "Florida Floor Fashions"
"Floorida Floors", "Florida Floors"
"Foremost Interiors", "Foremost Interiors"
"Fox Floors", "Fox Floors"
"Franey Floor Coverings - Carpet One", "Franey Floor Coverings - Carpet One"
"Drenners Carpet Gallery", "Drenners Carpet Gallery"
"Essis & Sons Carpet", "Essis & Sons Carpet"
"Carpet One", "Modern Carpet One"
"Armstrong World Industries, Inc.", "Armstrong World Industries"
"A J Rose Carpets & Flooring", "A J Rose Carpets & Flooring"
"Fred Callaghan Carpet & Flooring", "Fred Callaghan Carpet & Flooring"
"Viking Range Corporation", "Viking Range Corporation"
"Bell's Carpets & Floors", "Bell's Carpets & Floors"
"Home Interiors", "Home Interiors"
"SELECT CARPET AND FLOOR INC.", "SELECT CARPET AND FLOOR INC."
"Interiors & Textiles", "Interiors & Textiles"
"Frederick Street Carpet", "Frederick Street Carpet"
"Freeds Fine Furnishings", "Freeds Fine Furnishings"
"Nebraska Furniture Mart", "Furniture Mart"
"G Fried Carpet", "G Fried Carpet"
"G. Fried Carpet / Rug Works", "G. Fried Carpet / Rug Works"
"Gardner Floor Covering", "Gardner Floor Covering"
"Flooring by Cogdill", "Flooring by Cogdill"
"Dulmes Decor / Carpet One", "Dulmes Decor / Carpet One"
"Kuhn Carpet and Tile", "Kuhn Carpet and Tile"
"Coles Fine Flooring", "Coles Fine Flooring"
"Carpet One Floor & Home", "Carpet One Floor & Home IN"
"Carpetland of New England", "Carpetland of New England"
"Mill Creek Carpet and Tile", "Mill Creek Carpet & Tile"
"Dales Carpet One of Ft. Collins", "Dales Carpet One of Ft. Collins"
"Carpets and Floors Inc", "Carpets and Floors Inc"
"Venetian Blind Carpet One", "Venetian Blind Carpet One"
"George Kashou Co Inc", "George Kashou Co Inc"
"Giant Floor & Wallcovering", "Giant Floor & Wallcovering"
"Husqvarna Forest & Garden Products", "Husqvarna Forest & Garden Products"
"Flooring America", "Glovers Flooring America"
"Flooring Gallery", "Gold River Flooring Gallery"
"Dalene Flooring", "Dalene Flooring"
"Great American Carpet Store", "Great American Carpet Store"
"Great Floors", "Great Floors"
"Greater Tennessee Flooring", "Greater Tennessee Flooring"
"Flooring Center Inc", "Greer Flooring Center Inc"
"Flooring Max / Main Office", "Flooring Max"
"Griffin's Floorcrafters", "Griffin's Floorcrafters"
"Grindstaff's", "Grindstaff's Interiors"
"Carpetland of New England", "Carpetland of New England"
"Tire Centers Inc. ", "Tire Centers Inc."
"Venetian Blind Carpet One", "Venetian Blind Carpet One"
"Hadinger Carpet", "Hadinger Carpet"
"Hagopian World of Rugs", "Hagopian World of Rugs"
"Hall's Flooring", "Hall's Flooring"
"Flooring America", "Halpin's Flooring America"
"Halverson Carpet Center", "Halverson Carpet Center"
"Hamernick Decorating Center", "Hamernick Decorating Center"
"Brentwood Carpets Inc", "Brentwood Carpets Inc"
"Harry`s Carpet One", "Harry`s Carpet One"
"Burritt Brothers Carpets", "Burritt Brothers Carpets"
"Piedmont Flooring & Design / Kemper Carpet", "Piedmont Flooring & Design / Kemper Carpet"
"Hemphill's Rugs & Carpets", "Hemphill's Rugs & Carpets"
"Carpet One Floor and Home", "Henley's Carpet One Floor and Home"
"Carpet One", "Carpet One by Henry"
"Sharp Carpet & Ceramic Tile Inc", "Sharp Carpet & Ceramic Tile Inc"
"Heritage Carpet Redi-Cut Carpet", "Heritage Carpet  Redi-Cut Carpet"
"Heritage Place Gallery of Floors", "Heritage Place Gallery of Floors, Inc."
"Cliffside Floors", "Cliffside Floors"
"Hester's Abbey Floor Covering", "Hester's Abbey Floor Covering"
"Stoneridge Flooring Design", "Stoneridge Flooring Design"
"Hunter Douglas Inc", "Hunter Douglas Inc"
"HJ Martin", "HJ Martin"
"Hoffman FLOOR AND HOME", "Hoffman FLOOR AND HOME"
"Holloway Floor Covering", "Holloway Floor Covering"
"HOME BEAUTIFUL INC", "HOME BEAUTIFUL INC"
"Home Choice", "Home Choice"
"GRANDE DESIGNER FLOORCOVERING", "HONACHER INC / GRANDE DESIGNER FLOORCOVERING"
"Honquest Furniture for Living", "Honquest Furniture for Living"
"Hoosier Floor Covering / Carpets Plus Colortile", "Hoosier Floor Covering / Carpets Plus Colortile"
"Carpet One", "Hosner Carpet One"
"Hunter Douglas Inc", "Hunter Douglas Inc"
"Husqvarna Forest & Garden Products", "Husqvarna Forest & Garden Products"
"Independent Floor Covering of Port Huron Inc.", "Independent Floor Covering of Port Huron Inc."
"Independent Flooring Center", "Independent Flooring Center"
"Indiana Flooring", "Indiana Flooring & Lino"
"Interiors & Textiles", "Interiors & Textiles"
"Interiors By France", "Interiors by France"
"INTERIORS BY KRIS", "INTERIORS BY KRIS"
"Iskalis Interiors", "Iskalis Interiors"
"J B Lewis Carpets", "J B Lewis Carpets"
"Carpet One Floor & Home", "Jabro Carpet One Floor & Home"
"Commercial Carpet & Rug / Commercial Carpet Corp", "Commercial Carpet & Rug / Commercial Carpet Corp"
"Maloney Carpet One", "Maloney Carpet One"
"Home Choice", "Home Choice"
"Jack Twohig's Floor Covering", "Jack Twohig's Floor Covering"
"Jack's Carpet", "Jack's Carpet"
"Jacobi's Carpet One", "Jacobi's Carpet One"
"Kelly's Carpet Omaha", "Kelly's Carpet Omaha"
"J & S Carpet Co", "J & S Carpet Co"
"Jaime's Design and Floor", "Jaime's Design and Floor"
"Hodge Carpets", "Hodge Carpets, Inc"
"Tolivers Carpet One / House of Carpet", "Tolivers Carpet One / House of Carpet"
"Standale Interiors", "Standale Interiors"
"Menke Floors", "Menke Floors"
"Tudor Carpet One", "Tudor Carpet One"
